wiki_movie_id,language_name,averageRating
975900,English Language,4.9
261236,German Language,5.9
171005,English Language,7.5
77856,English Language,7.8
156558,English Language,6.4
9633533,Malayalam Language,7.9
25960460,English Language,5.6
261237,Afrikaans Language,7.3
261237,English Language,7.3
12008535,Spanish Language,6.7
4951456,English Language,5.5
12053509,English Language,6.0
29198000,Hindi Language,3.9
1369204,English Language,6.9
1369204,Spanish Language,6.9
12371532,English Language,7.0
2647998,English Language,6.1
1254263,English Language,6.3
7028314,English Language,5.6
25413122,English Language,5.8
5664529,English Language,5.6
5894429,English Language,6.5
12788657,English Language,7.1
4300418,Hindi Language,5.5
30246289,Polish Language,6.2
30246289,German Language,6.2
30246289,English Language,6.2
2154704,English Language,5.2
3740032,English Language,6.8
28937087,Hungary,6.9
28937087,English Language,6.9
28937087,Russian Language,6.9
28937087,Hungarian language,6.9
24282217,Korean Language,5.7
7767613,English Language,6.4
24863901,English Language,6.3
1630107,English Language,7.2
3550323,English Language,6.7
1072373,Tamil Language,6.7
1765938,English Language,6.3
7460227,English Language,7.2
1305819,English Language,5.6
1031231,Romani language,8.0
1031231,Italian Language,8.0
1031231,Serbo-Croatian,8.0
1031231,Bulgarian Language,8.0
1031231,Serbian language,8.0
1031231,German Language,8.0
180917,English Language,6.3
6305925,English Language,6.3
6305925,Spanish Language,6.3
196176,English Language,7.4
33872851,Greek Language,6.4
33872851,English Language,6.4
2509881,English Language,4.4
19569910,Japanese Language,7.2
26137128,English Language,4.4
16304395,English Language,6.2
748616,Korean Language,8.0
336846,English Language,7.2
27463222,English Language,4.9
3249964,English Language,7.1
27874961,French Language,6.0
3033993,English Language,7.0
12491178,English Language,4.9
5696825,English Language,6.0
103021,French Language,7.5
103021,English Language,7.5
1940449,English Language,4.1
6795107,Tamil Language,6.2
27365295,English Language,5.5
6703617,Standard Mandarin,6.5
6703617,English Language,6.5
6703617,Standard Cantonese,6.5
21737016,English Language,5.9
19389755,English Language,4.4
362719,English Language,7.4
21271533,Danish Language,6.8
16055450,Spanish Language,5.5
7696753,English Language,6.9
17379289,English Language,5.1
4459059,English Language,5.8
6471697,Hindi Language,5.2
413207,French Language,7.0
4069274,English Language,4.4
3681139,English Language,6.2
26205476,English Language,6.2
5549065,English Language,7.3
14543900,Hindi Language,5.1
171058,English Language,7.5
2608958,English Language,6.7
21618909,Hindi Language,6.7
21618909,English Language,6.7
26624119,English Language,5.3
6273971,Romanian Language,7.5
2546429,English Language,6.0
20553214,Bengali Language,4.7
31686022,English Language,5.1
24416479,English Language,4.1
14773122,English Language,6.4
12490207,Korean Language,7.0
12490207,Cantonese,7.0
6170621,Spanish Language,7.8
9105523,Japanese Language,6.6
17594419,English Language,6.8
207680,English Language,6.5
1858682,English Language,6.9
7235116,English Language,6.1
5254729,English Language,6.0
24291753,English Language,5.7
235331,Japanese Language,8.3
32494263,Bengali Language,8.3
27504492,Korean Language,6.5
1249014,Polish Language,7.4
35785312,Spanish Language,6.7
2172156,Malayalam Language,8.9
14109452,English Language,6.3
4783144,English Language,5.4
4058835,Hindi Language,7.9
2642180,Hebrew Language,6.9
12384049,English Language,5.9
6004372,English Language,6.7
4473622,English Language,7.1
10366326,English Language,5.1
2093270,English Language,6.4
22332882,English Language,7.6
11686007,English Language,5.8
9384481,English Language,5.0
8637169,English Language,5.8
7731853,Silent film,7.5
7731853,English Language,7.5
856733,English Language,7.4
856733,Spanish Language,7.4
76345,English Language,6.6
76345,American English,6.6
24021571,English Language,5.9
4926447,English Language,5.7
4926447,American English,5.7
10594195,Hindi Language,6.5
1226289,English Language,5.1
20393685,English Language,6.4
3475071,German Language,6.5
3475071,English Language,6.5
2450188,English Language,5.7
44218,English Language,7.2
1135297,English Language,6.0
906380,Standard Mandarin,7.0
7882413,French Language,7.3
33773022,French Language,5.8
33773022,Italian Language,5.8
9215946,English Language,6.5
7014201,English Language,4.6
7752732,English Language,4.3
11220896,Malayalam Language,5.5
9678161,Tamil Language,6.7
7082486,Telugu language,7.5
21209475,English Language,6.1
1307956,English Language,7.1
20694087,Tamil Language,5.6
2216254,English Language,5.7
28530363,English Language,7.3
28530363,Spanish Language,7.3
23435357,Hindi Language,3.7
30548208,English Language,6.4
27064671,Malayalam Language,3.8
4002677,English Language,6.6
1964091,French Language,6.2
1964091,German Language,6.2
1964091,English Language,6.2
26687336,Hindi Language,5.7
26687336,Punjabi language,5.7
9404578,English Language,7.7
1094668,Hindi Language,6.4
6721185,English Language,5.7
3917900,English Language,5.6
1378672,English Language,6.3
22358819,English Language,5.8
9962209,Spanish Language,7.0
1748912,English Language,7.0
706803,English Language,6.0
1851703,Japanese Language,6.7
1851703,German Language,6.7
1851703,English Language,6.7
3917873,English Language,6.9
5363369,English Language,6.4
7266768,English Language,5.2
444919,English Language,6.1
3670013,English Language,5.5
3670013,English Language,4.8
24300269,English Language,5.9
6613755,English Language,4.9
28010827,English Language,5.0
11467890,Italian Language,6.7
11467890,English Language,6.7
14710585,English Language,4.1
6973699,English Language,4.3
7281088,English Language,4.4
7281088,Spanish Language,4.4
33096336,English Language,6.4
5181423,Hindi Language,6.6
5181423,Urdu Language,6.6
7154611,English Language,6.5
24207129,English Language,7.5
24207129,Spanish Language,7.5
7280802,English Language,3.0
1533733,English Language,7.7
24051028,English Language,7.5
8763366,English Language,6.0
17711304,English Language,6.6
7876902,Telugu language,7.8
25075517,English Language,6.3
11227773,Hebrew Language,6.2
9889964,Hindi Language,5.9
28388755,English Language,6.2
5884079,English Language,5.3
5884079,Thai Language,5.3
1781048,English Language,5.6
1781048,Spanish Language,5.6
17807776,Japanese Language,7.1
817057,English Language,6.6
29004995,Hindi Language,7.2
399402,English Language,7.3
22224559,English Language,6.0
8437284,Hindi Language,3.4
8437284,English Language,3.4
4836072,English Language,7.8
2121431,English Language,6.5
5923472,Telugu language,2.4
14544711,Japanese Language,7.0
9985474,English Language,6.0
11361551,English Language,7.0
3340222,Danish Language,8.1
13457871,English Language,6.1
736262,English Language,7.0
2262277,Hindi Language,7.9
2262277,English Language,7.9
5240350,English Language,5.7
14076924,English Language,6.2
30864413,Hindi Language,4.5
24292756,English Language,5.9
17839776,Silent film,7.2
17839776,English Language,7.2
8889869,Hindi Language,6.1
8889869,English Language,6.1
21234681,German Language,5.0
12095072,English Language,6.1
249406,English Language,7.3
8743599,Hindi Language,6.4
8743599,Urdu Language,6.4
27383563,English Language,7.4
30975925,English Language,4.7
36406869,English Language,4.9
957179,English Language,6.5
9208103,English Language,4.8
3389311,English Language,6.5
5565338,English Language,4.9
168571,English Language,7.3
6244632,English Language,2.1
26013008,Malayalam Language,6.4
846329,Japanese Language,8.2
10990102,English Language,6.4
11144406,English Language,6.5
1231856,English Language,6.6
161877,English Language,7.5
24813200,English Language,4.4
36348802,Cantonese,6.3
934809,English Language,7.2
4600837,English Language,6.0
1273572,English Language,6.9
